compound_name,retention_time,smiles,split_index
1_TG 14:0-13:0-14:0-d5_ISTD,9.211,CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC,1
1_TG 14:0-15:1-14:0-d5_ISTD,9.235,CCCC/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC,1
1_TG 14:0-17:1-14:0-d5_ISTD,9.742,CCCCCC/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC,1
1_TG 16:0-15:1-16:0-d5_ISTD,10.223,CCCC/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,1
1_TG 16:0-17:1-16:0-d5_ISTD,10.671,CCCCCC/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,1
1_TG 16:0-19:2-16:0-d5_ISTD,10.713,CCCCC/C=C\C/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,1
1_TG 18:1-17:1-18:1-d5_ISTD,10.696,CCCCCC/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,2
1_TG 18:1-19:2-18:1-d5_ISTD,10.73,CCCCC/C=C\C/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,1
1_TG 18:1-21:2-18:1-d5_ISTD,11.111,CCCCC/C=C\C/C=C\CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,1
1_CE 14:1-d7_ISTD,9.82,CCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1,2
1_CE 16:1-d7_ISTD,10.392,CCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1,1
