compound_name,retention_time,smiles,split_index
"3a-[3,4-dihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-5-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]oxycarbonyl-5b,8,8,11a-tetramethyl-9-oxo-1-prop-1-en-2-yl-2,3,4,5,6,7,7a,10,11,11b,12,13,13a,13b-tetradecahydro-1H-cyclopenta[a]chrysene-5a-carboxylic acid",4.698,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(=O)C34CCC(C3C5CCC6C7(CCC(=O)C(C7CCC6(C5(CC4)C(=O)O)C)(C)C)C)C(=C)C)COC8C(C(C(C(O8)CO)O)O)O)O)O)O,2
"8-(2,3-dihydroxy-3-methylbutyl)-7-methoxychromen-2-one",2.801,CC(C)(C(CC1=C(C=CC2=C1OC(=O)C=C2)OC)O)O,1
"(E)-4-[(1R,2S,3S,4R,8aS)-2,3,4-trihydroxy-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]but-3-en-2-one",3.907,CC(=O)/C=C/[C@@H]1[C@]2(CCCC(C2[C@H]([C@@H]([C@@]1(C)O)O)O)(C)C)C,2
"(2S,3R,4S,5R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",4.41,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](CC3[C@]2(C[C@@H](C4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H](CO6)O)O)O)C)O)C)O)C,1
"methyl (3R,4R,5R)-3,4-dihydroxy-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(E)-3-phenylprop-2-enoyl]oxymethyl]oxan-2-yl]oxycyclohexene-1-carboxylate",3.008,COC(=O)C1=C[C@H]([C@H]([C@@H](C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)/C=C/C3=CC=CC=C3)O)O)O)O)O,1
"(2E,6E,10E)-13-[(2R)-6-hydroxy-2,8-dimethyl-3,4-dihydrochromen-2-yl]-2,6,10-trimethyltrideca-2,6,10-trienoic acid",6.077,CC1=CC(=CC2=C1O[C@](CC2)(C)CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C(=O)O)O,1
N-acetylphenylalanine,1.526,CC(=O)NC(CC1=CC=CC=C1)C(=O)O,1
"3-[(7S,8S)-5-hydroxy-2,2,7,8-tetramethyl-6-oxo-7,8-dihydropyrano[3,2-g]chromen-10-yl]-3-phenylpropanoic acid",5.928,C[C@H]1[C@@H](OC2=C(C1=O)C(=C3C=CC(OC3=C2C(CC(=O)O)C4=CC=CC=C4)(C)C)O)C,2
terrein,1.922,C/C=C/C1=CC(=O)[C@@H]([C@H]1O)O,1
"(2R,3R,4S,5S,6R)-2-[1,7-bis(4-hydroxyphenyl)heptan-3-yloxy]-6-[[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]oxane-3,4,5-triol",3.697,C1[C@@]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC(CCCCC3=CC=C(C=C3)O)CCC4=CC=C(C=C4)O)O)O)O)O)(CO)O,1
"14-hydroxy-14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0ï¿½,ï¿½?.0?,?]hexadecane-5-carboxylic acid",4.344,CC12CCCC(C1CCC34C2CCC(C3)C(C4)(CO)O)(C)C(=O)O,1
"(2R,3R,4S,5S,6R)-2-[(2E)-4-ethenyl-2,5-dimethylhexa-2,5-dienoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",3.201,CC(=C)C(C=C)/C=C(\C)/CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,1
Piplartine,3.742,COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)N2CCC=CC2=O,1
