,importance,stddev,p_value,n,p99_high,p99_low
SIC0,0.5517832079619333,0.07282263272517732,0.002877943574362222,3,0.9690649690494693,0.1345014468743973
SLogP,0.21525220892520344,0.061710090258976204,0.013159876082718064,3,0.5688578693702913,-0.13835345151988435
PEOE_VSA9,0.19197653226115033,0.03215804299881643,0.004612009887173588,3,0.3762456847692197,0.007707379753080917
EState_VSA10,0.15532675813122443,0.031647752008752965,0.006778594893015592,3,0.3366718866781666,-0.02601837041571775
BIC0,0.07110162015470126,0.01415797173552038,0.006480142277862967,3,0.1522283682293139,-0.010025127919911378
MATS1se,0.06503380942892813,0.012337263923176267,0.005892206957524428,3,0.135727699833756,-0.00566008097589972
AATS0are,0.061019852995213786,0.003697716548690723,0.0006109098917544111,3,0.08220817887273627,0.03983152711769131
Mse,0.05880053692916646,0.00037175183137661244,6.661679276211392e-06,3,0.06093071614789604,0.05667035771043688
AATS1pe,0.05377074915005888,0.0032660636964215394,0.0006137699644665456,3,0.07248565631649062,0.03505584198362714
GATS1Z,0.05356109685584817,0.0016714196139747456,0.00016222187531280031,3,0.06313851659385357,0.04398367711784277
SssCH2,0.0345411633785378,0.012349758838014332,0.020033741498494826,3,0.10530665103099529,-0.036224324273919695
VSA_EState8,0.030269589376836974,0.0014527095889267727,0.0003834365427225632,3,0.03859377641775033,0.021945402335923615
AATSC0c,0.021055767084258863,0.002533933275273822,0.0023964365037013103,3,0.035575485748852005,0.006536048419665723
EState_VSA5,0.018873259568687906,0.01094487223836392,0.048098531416037454,3,0.08158859121205451,-0.043842072074678703
ATSC5d,0.01727219696990794,0.009827284612219904,0.0465427573388309,3,0.07358362758202577,-0.0390392336422099
nHBDon,0.014268668681046768,0.0010845844131287805,0.0009601877117521767,3,0.020483457641869346,0.008053879720224187
C2SP3,0.013237721207783909,0.0019050495352525897,0.0034163775877262144,3,0.024153866302801235,0.002321576112766583
Xp-2dv,0.013149639431346857,0.003139119774912817,0.009235753455699982,3,0.031137143850250577,-0.004837864987556865
IC0,0.01302148466895566,0.001259930787290919,0.0015530804790545951,3,0.020241027798538112,0.0058019415393732055
ATS6i,0.012563000652651582,0.005157985382944194,0.02592859128755394,3,0.0421188288850822,-0.01699282757977904
ATS7pe,0.010951236929594618,0.014697848599602036,0.16296541865176123,3,0.09517153930434616,-0.07326906544515693
ATS4d,0.010483089965646194,0.0013387378483677053,0.002696108714240376,3,0.018154206294406394,0.0028119736368859925
AATS0se,0.009196877897195505,0.0007797920237059911,0.0011938995905283064,3,0.013665172667065174,0.004728583127325836
ZMIC1,0.008625578956159211,0.0012501067168161452,0.0034644500774957767,3,0.015788829072493543,0.0014623288398248804
ATS5se,0.008535332866833325,0.0011135016212707703,0.002812632084114351,3,0.014915820637046141,0.002154845096620509
GATS1m,0.008365683578712405,0.0014514835166265338,0.004943021657372707,3,0.016682845089381684,4.8522068043127184e-05
Kier2,0.007703360168495886,0.013588634659043253,0.21484085961449745,3,0.08556774365899115,-0.07016102332199937
Xp-4d,0.00769832262625265,0.0019047094702698884,0.009900645071434531,3,0.018612519111208026,-0.003215873858702727
MATS3se,0.007100696330031381,0.0024593826020253445,0.018869404110501347,3,0.021193231369709645,-0.006991838709646881
MAXssCH2,0.006655038464226687,0.006992371658949802,0.12051060922092575,3,0.0467221034800781,-0.03341202655162473
CIC2,0.006483618899015424,0.006822443719973439,0.12075099535853313,3,0.045576977980591855,-0.03260974018256101
ATSC2v,0.004950779559716558,0.005798884473233033,0.1386514034888367,3,0.03817903065118321,-0.02827747153175009
AATS5s,0.004879872615599311,0.0009528828624580359,0.006236285802859845,3,0.010339997086204316,-0.0005802518550056951
ATS8are,0.004636387833996863,0.0023362141850656213,0.03760514230164753,3,0.0180231541858926,-0.008750378517898873
MIC0,0.004468243119234429,0.0009434106178100116,0.00726818445251177,3,0.009874090577593857,-0.0009376043391249997
MINsCH3,0.004304183681224548,0.002481273702992707,0.04760900604319014,3,0.018522157157031306,-0.009913789794582212
ATS4se,0.004203015783910857,0.004062110270221087,0.10749180593381259,3,0.027479358094775783,-0.01907332652695407
ATS6pe,0.004151062152255904,0.0015745706047514347,0.02238237726028319,3,0.01317352632746532,-0.004871402022953512
ATSC3se,0.003872300636916376,0.003937839373469427,0.11531909120815921,3,0.0264365569285329,-0.018691955654700148
NsOH,0.0038576300847320923,0.0008804783707081639,0.008462698516665939,3,0.008902868788407268,-0.0011876086189430827
ATS6d,0.003661616878959643,0.0008998068300609454,0.009770669128560483,3,0.008817609798130916,-0.00149437604021163
SpAD_Dzp,0.003658583308384117,0.0010703998285630973,0.013683482467648368,3,0.009792093026664056,-0.0024749264098958227
ZMIC5,0.003621652242087483,0.003914630668560329,0.12511738363328487,3,0.02605292008087537,-0.018809615596700406
SIC2,0.003506435221287398,0.004708994808964407,0.16308052075609075,3,0.030489497674581145,-0.02347662723200635
nRot,0.003457643688114187,0.007309155721200932,0.24934378901252996,3,0.04533991651002605,-0.038424629133797676
BIC2,0.003369607160301833,0.004717869013564291,0.17080310204043714,3,0.030403519790046428,-0.02366430546944276
AATSC3se,0.0032118007923779093,0.0015269679603532433,0.033886491983386655,3,0.011961496536351613,-0.005537894951595795
IC5,0.0029419239540244926,0.003630961907996992,0.14781061945448148,3,0.02374773833770181,-0.01786389042965282
AATS2p,0.002853939441415154,0.0016685905565131302,0.04877736882991588,3,0.012415148366440809,-0.006707269483610501
AXp-4dv,0.0027006651601303535,0.0021572321916081415,0.08119962192260613,3,0.01506184484153658,-0.009660514521275873
GATS5i,0.0026831439886604302,0.0024622481496389442,0.09986111549791393,3,0.01679209893393584,-0.01142581095661498
ATS5are,0.0026647280255335617,0.0013461333627300177,0.037775378410087594,3,0.010378221471705874,-0.00504876542063875
ATS5i,0.0024565625950328887,0.006109607880836068,0.2791074332630046,3,0.037465293269337896,-0.03255216807927212
JGI6,0.002399720317915799,0.0009380783526632215,0.02367439494851671,3,0.00777501330566943,-0.002975572669837832
AATSC3c,0.002273125613441516,0.0002774445157422079,0.00246452886154634,3,0.0038629134554973897,0.0006833377713856422
ATS3se,0.002226676599449686,0.0005917302034191406,0.011370200602906956,3,0.005617356284201823,-0.0011640030853024511
AXp-3dv,0.0021728367764521916,0.0017668625535592081,0.08345173751641251,3,0.012297155142298694,-0.007951481589394311
SMR_VSA5,0.0021581909742659313,0.0008710946676516276,0.025123035144316613,3,0.007149660018833461,-0.002833278070301599
AATSC3i,0.002008296591682298,0.0011202982609994601,0.044975447006498914,3,0.008427729861245136,-0.004411136677880539
ATS7i,0.0019958449000077316,0.00012245638494408023,0.0006262410403694589,3,0.002697533565380748,0.0012941562346347152
AATSC1d,0.0019881114068346826,0.0010343573780031332,0.03980137645561474,3,0.00791509388652479,-0.003938871072855427
MATS3are,0.0019105648539535687,0.001722982594779056,0.09737395698218704,3,0.01178344618997816,-0.00796231648207102
SIC5,0.0018946937692438475,0.0022017427963814374,0.13728588041923992,3,0.014510924151947375,-0.010721536613459681
ATS2d,0.0018898995834182863,0.002266224331740201,0.1427294537992831,3,0.014875616314324526,-0.011095817147487953
CIC3,0.001860241188791495,0.0017580898225681486,0.10415324437110975,3,0.011934290833218496,-0.008213808455635506
AATS8are,0.0018114206669251436,0.0008840334944303681,0.035518197205667755,3,0.006877030623769425,-0.0032541892899191375
MATS7p,0.0017683743259085671,0.0013699235880753028,0.07743580554733388,3,0.00961818840149583,-0.006081439749678695
AATSC2p,0.0017540412864640216,0.0010914390077940163,0.054232589827698165,3,0.00800810783484987,-0.004500025261921827
AATS4dv,0.0017442276085248936,0.0009787908052192387,0.045442094605870446,3,0.007352807464179608,-0.0038643522471298207
FilterItLogS,0.0017319328726975725,0.004831826406198107,0.29901400446011656,3,0.029418833999392543,-0.025954968253997398
JGI3,0.0017105008982413277,0.0019246190092658448,0.13179690454674703,3,0.012738781249486276,-0.009317779453003622
MATS8se,0.001689611844389649,0.000772685003730056,0.031588894177629695,3,0.006117182601673363,-0.0027379589128940646
ATSC1dv,0.0016326078439882208,0.000514993036468766,0.015801970304774222,3,0.004583575052445199,-0.0013183593644687575
AATSC8se,0.0015537860251065387,0.0018054859844498885,0.13727612859874855,3,0.01189942093305237,-0.008791848882839294
MATS2m,0.001514109812199978,0.0028942017794913095,0.23025554292661105,3,0.018098206957472107,-0.015069987333072151
CIC5,0.0014796365921328491,0.0022292967385449387,0.18461210130090133,3,0.014253754118992245,-0.011294480934726547
GATS1se,0.001428234188527037,0.0007649840632024153,0.0418924112918779,3,0.005811677702601466,-0.0029552093255473914
ATSC3s,0.0014103701836944797,0.0009400137910190195,0.060820093871929354,3,0.006796753447854782,-0.003976013080465822
ATS8pe,0.001405361415923086,0.00806226056389207,0.39560765664754893,3,0.04760300850104888,-0.0447922856692027
BIC5,0.0013798874897298548,0.002317907019758388,0.2054287616734044,3,0.014661751754265576,-0.011901976774805865
ATSC3d,0.0013700165514899294,0.0011542749845707937,0.08805979635115142,3,0.007984140214921604,-0.005244107111941745
AATS4Z,0.001273938224719005,5.322422158530573e-05,0.0002906643833298601,3,0.0015789189166344596,0.0009689575328035502
AATS1dv,0.0012465561518254602,0.002521912203267953,0.24106232707431174,3,0.015697392740763642,-0.013204280437112722
MATS7c,0.0012232426408178103,0.0009926809133039916,0.08319419504768641,3,0.006911414356123845,-0.004464929074488224
AXp-5dv,0.001206309984066678,0.0011120841899133996,0.1005220494003081,3,0.007578675715417532,-0.005166055747284176
