,importance,stddev,p_value,n,p99_high,p99_low
SLogP,0.041028825515084764,0.02094716835686837,0.038493282589881474,3,0.16105842310925575,-0.0790007720790862
PEOE_VSA6,0.011897612337766095,0.003441141646849833,0.013384973564818907,3,0.03161573557519627,-0.007820510899664079
n6aHRing,0.01122616633536481,0.004422915474920648,0.024021365019694464,3,0.03656996248018772,-0.014117629809458099
EState_VSA3,0.00998730535613209,0.001463088852733513,0.003538862085983305,3,0.01837096672965319,0.0016036439826109875
IC0,0.008781743725687888,0.001934021363128082,0.007892791048686836,3,0.019863900607225406,-0.0023004131558496278
MAXssCH2,0.008576222480998688,0.0024531617321686514,0.013103018949759734,3,0.02263311124654273,-0.005480666284545355
MIC0,0.00800641003395608,0.0013065651902031516,0.00438025058858495,3,0.015493173463687806,0.0005196466042243523
n10FaHRing,0.007973617822562154,0.002382992092206058,0.014252736511661106,3,0.02162842676974849,-0.005681191124624181
BIC0,0.007838283166728447,0.0014983338126025871,0.005981038145395948,3,0.016423902068743876,-0.0007473357352869806
nFaHRing,0.007540834501177522,0.002769436495073266,0.02106911994488858,3,0.023410012731048386,-0.00832834372869334
PEOE_VSA3,0.006702358184196437,0.002023899741298225,0.014537916675816604,3,0.018299528139596115,-0.00489481177120324
JGI6,0.006672568625398038,0.0010905560810029575,0.004393442929684427,3,0.012921575905360087,0.00042356134543598996
EState_VSA6,0.006395090318288295,0.0015992744665586827,0.010108203847231375,3,0.015559110361156248,-0.002768929724579659
SIC0,0.006341072769113332,0.0019528834945938631,0.015095723810350785,3,0.017531311755641602,-0.004849166217414939
SlogP_VSA1,0.00582304358059967,0.0014762586833320965,0.010379677414048768,3,0.014282169543902094,-0.0026360823827027554
n10FHRing,0.005116097454143542,0.0009990487274001206,0.006236760199010903,3,0.010840757450370955,-0.0006085625420838717
AMID_C,0.004728776700517227,0.0015377782086816432,0.016744997419696497,3,0.013540416366201256,-0.004082862965166803
SdssC,0.004658024177257025,0.005085184687410495,0.12675604932373857,3,0.03379669635113998,-0.024480647996625925
SlogP_VSA4,0.004615064271598708,0.0003662746682074316,0.0010465063470299503,3,0.006713858737985913,0.0025162698052115027
MATS1are,0.004476848565428663,0.0019808074131401903,0.029745963708139287,3,0.01582709470181445,-0.006873397570957123
naHRing,0.004348206766923157,0.0013462679266620235,0.015249703875949172,3,0.012062471279348157,-0.003366057745501843
AATSC3s,0.004340911456799823,0.004967314562698852,0.13465201534902901,3,0.03280417474502906,-0.024122351831429415
nFaRing,0.004280894166045972,0.0016615831828964659,0.023362882646749544,3,0.013801950063174445,-0.005240161731082503
MINaasC,0.004245081438055576,0.002249688749560693,0.04111687171311784,3,0.0171360474493811,-0.008645884573269948
n10FaRing,0.004157983695905513,0.0015281238023887541,0.021096772750796394,3,0.01291430254291831,-0.004598335151107284
AATS1i,0.003881336423557961,0.0029320525149059222,0.07444004225244429,3,0.020682322480164484,-0.012919649633048562
MATS7v,0.0038676793170067114,0.001388541663272706,0.020189390641072696,3,0.011824177028102616,-0.004088818394089193
AATSC8v,0.0038288200844146894,0.0010934875630215256,0.013063569879876512,3,0.010094625081426065,-0.002436984912596686
GATS4c,0.0035617362841383615,0.0033343358495014725,0.10275614221687063,3,0.022667850458670792,-0.015544377890394069
